z,ink_mean,background_mean,contrast,auc
0,0.143719,0.119920,0.023799,0.505531
1,0.130414,0.098747,0.031667,0.506495
2,0.118101,0.077076,0.041026,0.507788
3,0.107079,0.055652,0.051427,0.509451
4,0.096659,0.035079,0.061580,0.511174
5,0.085680,0.015980,0.069701,0.512531
6,0.073674,-0.001306,0.074980,0.513455
7,0.060849,-0.016789,0.077638,0.513797
8,0.048209,-0.030815,0.079024,0.513913
9,0.037086,-0.043477,0.080563,0.514160
10,0.028084,-0.054736,0.082820,0.514626
11,0.021241,-0.064584,0.085825,0.515336
12,0.016789,-0.073187,0.089977,0.516437
13,0.015260,-0.080421,0.095680,0.518078
14,0.016923,-0.085808,0.102732,0.520229
15,0.021794,-0.088847,0.110641,0.522680
16,0.030090,-0.089509,0.119600,0.525516
17,0.041831,-0.087587,0.129417,0.528467
18,0.056731,-0.082132,0.138863,0.531131
19,0.075000,-0.072832,0.147833,0.533808
20,0.096737,-0.060247,0.156985,0.536578
21,0.121390,-0.044858,0.166248,0.539348
22,0.148817,-0.026902,0.175719,0.542026
23,0.178772,-0.006411,0.185184,0.544489
24,0.209932,0.017329,0.192604,0.546422
25,0.241283,0.045158,0.196124,0.547624
26,0.272980,0.077100,0.195880,0.547914
27,0.304951,0.112762,0.192190,0.547335
28,0.336666,0.151801,0.184866,0.545857
29,0.367194,0.193405,0.173789,0.543349
30,0.395944,0.236709,0.159235,0.539838
31,0.423287,0.281334,0.141953,0.535562
32,0.450111,0.327615,0.122496,0.530855
33,0.477502,0.375838,0.101663,0.526009
34,0.505338,0.425668,0.079670,0.520981
35,0.532853,0.476383,0.056471,0.515859
36,0.559141,0.527001,0.032140,0.510870
37,0.583461,0.576789,0.006672,0.506067
38,0.605730,0.625813,-0.020083,0.501255
39,0.625958,0.674570,-0.048611,0.496264
40,0.644094,0.722542,-0.078448,0.491188
41,0.659744,0.767928,-0.108184,0.486229
42,0.671714,0.809216,-0.137502,0.481427
43,0.679081,0.845670,-0.166589,0.476716
44,0.682300,0.876599,-0.194299,0.472354
45,0.682987,0.901264,-0.218277,0.468772
46,0.682751,0.920087,-0.237336,0.465924
47,0.681829,0.934345,-0.252516,0.463552
48,0.679338,0.944695,-0.265357,0.461393
49,0.674455,0.951444,-0.276989,0.459319
50,0.666952,0.954974,-0.288022,0.457107
51,0.656989,0.955186,-0.298197,0.455036
52,0.644706,0.952209,-0.307503,0.453378
53,0.630044,0.946599,-0.316555,0.452114
54,0.613261,0.939324,-0.326063,0.451180
55,0.594820,0.931233,-0.336413,0.450252
56,0.574545,0.921910,-0.347365,0.449006
57,0.551940,0.911213,-0.359273,0.447397
58,0.527372,0.899084,-0.371712,0.445576
59,0.502092,0.885016,-0.382924,0.443840
60,0.477498,0.868970,-0.391473,0.442599
61,0.454035,0.851409,-0.397373,0.441819
62,0.431652,0.833053,-0.401401,0.441269
63,0.410543,0.814458,-0.403915,0.441112
64,0.390687,0.794867,-0.404180,0.441479
