arm,seed,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
disagreemin,42,phercparis4-w01,002500,8268843,2163941,0.7956,130,0.804,0.7875
disagreemin,42,phercparis4-w02,002500,4653221,1088446,0.7435,96,0.7428,0.7442
disagreemin,42,phercparis4-w03,002500,6169508,2125255,0.7337,90,0.7434,0.7243
disagreemin,42,phercparis4-w05,002500,31930770,6737328,0.7038,100,0.76,0.6554
disagreemin,42,phercparis4-w06,002500,11074717,3443040,0.7284,90,0.7398,0.7173
disagreemin,42,phercparis4-w07,002500,16003870,5022838,0.7094,93,0.7041,0.7149
disagreemin,42,phercparis4-w09,002500,5238005,1487875,0.7638,117,0.7544,0.7733
disagreemin,43,phercparis4-w01,002500,8268843,2163941,0.8256,130,0.8296,0.8216
disagreemin,43,phercparis4-w02,002500,4653221,1088446,0.7946,103,0.7974,0.7918
disagreemin,43,phercparis4-w03,002500,6169508,2125255,0.7829,93,0.7884,0.7775
disagreemin,43,phercparis4-w05,002500,31930770,6737328,0.7466,102,0.8036,0.6972
disagreemin,43,phercparis4-w06,002500,11074717,3443040,0.7626,99,0.778,0.7479
disagreemin,43,phercparis4-w07,002500,16003870,5022838,0.7466,99,0.7502,0.743
disagreemin,43,phercparis4-w09,002500,5238005,1487875,0.7881,128,0.7959,0.7805
disagreemax,42,phercparis4-w01,002500,8268843,2163941,0.7899,153,0.8203,0.7617
disagreemax,42,phercparis4-w02,002500,4653221,1088446,0.7166,105,0.7131,0.7201
disagreemax,42,phercparis4-w03,002500,6169508,2125255,0.7136,107,0.7313,0.6968
disagreemax,42,phercparis4-w05,002500,31930770,6737328,0.6793,118,0.7361,0.6306
disagreemax,42,phercparis4-w06,002500,11074717,3443040,0.7199,110,0.7407,0.7003
disagreemax,42,phercparis4-w07,002500,16003870,5022838,0.6912,112,0.6807,0.7021
disagreemax,42,phercparis4-w09,002500,5238005,1487875,0.7525,137,0.7514,0.7536
disagreemax,43,phercparis4-w01,002500,8268843,2163941,0.8094,133,0.8242,0.7951
disagreemax,43,phercparis4-w02,002500,4653221,1088446,0.7703,99,0.7685,0.7721
disagreemax,43,phercparis4-w03,002500,6169508,2125255,0.761,95,0.7822,0.7408
disagreemax,43,phercparis4-w05,002500,31930770,6737328,0.7104,110,0.7707,0.6589
disagreemax,43,phercparis4-w06,002500,11074717,3443040,0.7421,104,0.7635,0.7219
disagreemax,43,phercparis4-w07,002500,16003870,5022838,0.7245,108,0.7336,0.7157
disagreemax,43,phercparis4-w09,002500,5238005,1487875,0.7603,129,0.762,0.7585
randomsel,42,phercparis4-w01,002500,8268843,2163941,0.799,117,0.834,0.7668
randomsel,42,phercparis4-w02,002500,4653221,1088446,0.7081,86,0.736,0.6822
randomsel,42,phercparis4-w03,002500,6169508,2125255,0.726,86,0.7635,0.6921
randomsel,42,phercparis4-w05,002500,31930770,6737328,0.6473,98,0.7265,0.5836
randomsel,42,phercparis4-w06,002500,11074717,3443040,0.7164,87,0.7687,0.6708
randomsel,42,phercparis4-w07,002500,16003870,5022838,0.6935,88,0.703,0.6843
randomsel,42,phercparis4-w09,002500,5238005,1487875,0.7564,119,0.778,0.7359
randomsel,43,phercparis4-w01,002500,8268843,2163941,0.8178,100,0.8478,0.7899
randomsel,43,phercparis4-w02,002500,4653221,1088446,0.7482,77,0.7698,0.7279
randomsel,43,phercparis4-w03,002500,6169508,2125255,0.7581,75,0.8004,0.72
randomsel,43,phercparis4-w05,002500,31930770,6737328,0.6966,86,0.7757,0.6321
randomsel,43,phercparis4-w06,002500,11074717,3443040,0.7444,79,0.7799,0.7121
randomsel,43,phercparis4-w07,002500,16003870,5022838,0.7199,78,0.7509,0.6914
randomsel,43,phercparis4-w09,002500,5238005,1487875,0.7801,100,0.7926,0.768
