variant,segment,seed,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
raw,w035,42,010000,1069617,333586,0.6450,87,0.5990,0.6988
raw,w035,42,020000,1069617,333586,0.6527,75,0.6188,0.6904
raw,w035,42,030000,1069617,333586,0.6241,77,0.5475,0.7255
raw,w035,43,010000,1069617,333586,0.6152,83,0.5920,0.6402
raw,w035,43,020000,1069617,333586,0.6789,82,0.6513,0.7089
raw,w035,43,030000,1069617,333586,0.6523,77,0.5989,0.7163
specmatch,w035,42,010000,1069617,333586,0.6504,86,0.6069,0.7005
specmatch,w035,42,020000,1069617,333586,0.6579,76,0.6302,0.6882
specmatch,w035,42,030000,1069617,333586,0.6295,75,0.5441,0.7467
specmatch,w035,43,010000,1069617,333586,0.6248,84,0.6030,0.6482
specmatch,w035,43,020000,1069617,333586,0.6636,85,0.6239,0.7085
specmatch,w035,43,030000,1069617,333586,0.6429,76,0.5913,0.7044
raw,w039,42,010000,574928,182382,0.5451,76,0.4113,0.8078
raw,w039,42,020000,574928,182382,0.5032,77,0.4959,0.5107
raw,w039,42,030000,574928,182382,0.5303,80,0.4750,0.6003
raw,w039,43,010000,574928,182382,0.5089,81,0.4164,0.6542
raw,w039,43,020000,574928,182382,0.5751,77,0.4746,0.7295
raw,w039,43,030000,574928,182382,0.5613,75,0.4754,0.6853
specmatch,w039,42,010000,574928,182382,0.5561,77,0.4471,0.7351
specmatch,w039,42,020000,574928,182382,0.5236,75,0.5043,0.5444
specmatch,w039,42,030000,574928,182382,0.5198,72,0.3962,0.7553
specmatch,w039,43,010000,574928,182382,0.5289,82,0.4452,0.6514
specmatch,w039,43,020000,574928,182382,0.6103,79,0.4993,0.7848
specmatch,w039,43,030000,574928,182382,0.6011,77,0.5162,0.7195
raw,w040,42,010000,1626899,716419,0.6377,77,0.5450,0.7684
raw,w040,42,020000,1626899,716419,0.6502,70,0.5492,0.7966
raw,w040,42,030000,1626899,716419,0.6265,71,0.4837,0.8889
raw,w040,43,010000,1626899,716419,0.6211,76,0.4889,0.8514
raw,w040,43,020000,1626899,716419,0.6519,75,0.5671,0.7664
raw,w040,43,030000,1626899,716419,0.6299,69,0.5146,0.8119
specmatch,w040,42,010000,1626899,716419,0.6432,74,0.5318,0.8137
specmatch,w040,42,020000,1626899,716419,0.6511,71,0.5791,0.7435
specmatch,w040,42,030000,1626899,716419,0.6258,70,0.4827,0.8896
specmatch,w040,43,010000,1626899,716419,0.6250,76,0.4926,0.8550
specmatch,w040,43,020000,1626899,716419,0.6541,76,0.5730,0.7621
specmatch,w040,43,030000,1626899,716419,0.6311,67,0.5065,0.8370
raw,w041,42,010000,554742,229850,0.6751,82,0.6052,0.7633
raw,w041,42,020000,554742,229850,0.6576,71,0.5795,0.7599
raw,w041,42,030000,554742,229850,0.6648,79,0.6450,0.6859
raw,w041,43,010000,554742,229850,0.6102,80,0.5493,0.6863
raw,w041,43,020000,554742,229850,0.7025,80,0.6679,0.7408
raw,w041,43,030000,554742,229850,0.6663,72,0.6202,0.7197
specmatch,w041,42,010000,554742,229850,0.6650,79,0.5874,0.7663
specmatch,w041,42,020000,554742,229850,0.6585,71,0.5860,0.7516
specmatch,w041,42,030000,554742,229850,0.6464,73,0.5669,0.7519
specmatch,w041,43,010000,554742,229850,0.6092,80,0.5510,0.6812
specmatch,w041,43,020000,554742,229850,0.7195,80,0.6794,0.7645
specmatch,w041,43,030000,554742,229850,0.6725,74,0.6849,0.6606
