seed,segment,step,role,scored_px,ink_px,best_f1,best_threshold,precision,recall
42,phercparis4-w01,000200,headline,8268843,2163941,0.4318,59,0.3252,0.6426
42,phercparis4-w02,000200,headline,4653221,1088446,0.3857,58,0.2515,0.8265
42,phercparis4-w03,000200,headline,6169508,2125255,0.5124,40,0.3445,1.0000
42,phercparis4-w05,000200,headline,31930770,6737328,0.3589,59,0.2541,0.6109
42,phercparis4-w06,000200,headline,11074717,3443040,0.4771,58,0.3316,0.8500
42,phercparis4-w07,000200,headline,16003870,5022838,0.4843,59,0.3803,0.6666
42,phercparis4-w09,000200,headline,5238005,1487875,0.4959,60,0.4282,0.5891
43,phercparis4-w01,000200,headline,8268843,2163941,0.4198,64,0.3253,0.5917
43,phercparis4-w02,000200,headline,4653221,1088446,0.3819,63,0.2513,0.7955
43,phercparis4-w03,000200,headline,6169508,2125255,0.5124,40,0.3445,1.0000
43,phercparis4-w05,000200,headline,31930770,6737328,0.3488,63,0.2236,0.7922
43,phercparis4-w06,000200,headline,11074717,3443040,0.4743,30,0.3109,1.0000
43,phercparis4-w07,000200,headline,16003870,5022838,0.4893,64,0.3994,0.6313
43,phercparis4-w09,000200,headline,5238005,1487875,0.5334,66,0.5506,0.5173
