seed,segment,step,role,scored_px,ink_px,best_f1,best_threshold,precision,recall
42,phercparis4-w01,002500,headline,8268843,2163941,0.5027,69,0.4262,0.6129
42,phercparis4-w02,002500,headline,4653221,1088446,0.4520,69,0.3769,0.5644
42,phercparis4-w03,002500,headline,6169508,2125255,0.5322,63,0.4003,0.7938
42,phercparis4-w05,002500,headline,31930770,6737328,0.3983,68,0.3173,0.5349
42,phercparis4-w06,002500,headline,11074717,3443040,0.5020,66,0.4154,0.6343
42,phercparis4-w07,002500,headline,16003870,5022838,0.5598,68,0.5172,0.6100
42,phercparis4-w09,002500,headline,5238005,1487875,0.6217,82,0.6261,0.6173
43,phercparis4-w01,002500,headline,8268843,2163941,0.5383,73,0.4832,0.6075
43,phercparis4-w02,002500,headline,4653221,1088446,0.4628,70,0.3888,0.5717
43,phercparis4-w03,002500,headline,6169508,2125255,0.5444,66,0.4503,0.6882
43,phercparis4-w05,002500,headline,31930770,6737328,0.4331,73,0.3860,0.4935
43,phercparis4-w06,002500,headline,11074717,3443040,0.5181,69,0.4505,0.6096
43,phercparis4-w07,002500,headline,16003870,5022838,0.5949,73,0.6019,0.5880
43,phercparis4-w09,002500,headline,5238005,1487875,0.6458,97,0.6379,0.6539
42,phercparis4-w01,005000,probe,8268843,2163941,0.5156,70,0.4509,0.6019
42,phercparis4-w05,005000,probe,31930770,6737328,0.4123,68,0.3363,0.5328
43,phercparis4-w01,005000,probe,8268843,2163941,0.5179,73,0.4520,0.6064
43,phercparis4-w05,005000,probe,31930770,6737328,0.4174,72,0.3591,0.4984
