seed,segment,step,role,scored_px,ink_px,best_f1,best_threshold,precision,recall
42,phercparis4-w01,002500,headline,8268843,2163941,0.5444,80,0.4968,0.6021
42,phercparis4-w02,002500,headline,4653221,1088446,0.4698,76,0.4040,0.5612
42,phercparis4-w03,002500,headline,6169508,2125255,0.5474,66,0.4403,0.7231
42,phercparis4-w05,002500,headline,31930770,6737328,0.4445,76,0.3837,0.5281
42,phercparis4-w06,002500,headline,11074717,3443040,0.5379,73,0.4857,0.6025
42,phercparis4-w07,002500,headline,16003870,5022838,0.5937,77,0.6016,0.5861
42,phercparis4-w09,002500,headline,5238005,1487875,0.6600,97,0.6613,0.6586
43,phercparis4-w01,002500,headline,8268843,2163941,0.5285,89,0.4628,0.6159
43,phercparis4-w02,002500,headline,4653221,1088446,0.4539,86,0.3838,0.5553
43,phercparis4-w03,002500,headline,6169508,2125255,0.5449,71,0.4401,0.7152
43,phercparis4-w05,002500,headline,31930770,6737328,0.4332,86,0.3655,0.5319
43,phercparis4-w06,002500,headline,11074717,3443040,0.5209,76,0.4271,0.6676
43,phercparis4-w07,002500,headline,16003870,5022838,0.6031,88,0.5940,0.6126
43,phercparis4-w09,002500,headline,5238005,1487875,0.6391,121,0.6143,0.6661
42,phercparis4-w01,005000,probe,8268843,2163941,0.5091,76,0.4347,0.6143
42,phercparis4-w05,005000,probe,31930770,6737328,0.4190,74,0.3375,0.5522
43,phercparis4-w01,005000,probe,8268843,2163941,0.5620,78,0.5180,0.6142
43,phercparis4-w05,005000,probe,31930770,6737328,0.4646,77,0.4279,0.5082
