arm,representation,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
blurexp42,aligned,pherc0139-w035,020000,1018807,321472,0.7048,89,0.6993,0.7105
blurexp42,aligned,pherc0139-w039,020000,546650,175084,0.6244,72,0.5264,0.7674
blurexp42,aligned,pherc0139-w040,020000,1548382,687666,0.6504,73,0.5915,0.7225
blurexp42,aligned,pherc0139-w041,020000,526815,219912,0.6908,71,0.635,0.7573
blurexp42,native,w035,020000,1069617,333586,0.6174,77,0.5851,0.6535
blurexp42,native,w039,020000,574928,182382,0.5871,75,0.4959,0.7193
blurexp42,native,w040,020000,1626899,716419,0.6448,70,0.5485,0.7823
blurexp42,native,w041,020000,554742,229850,0.6503,71,0.5619,0.7718
blurexp43,aligned,pherc0139-w035,020000,1018807,321472,0.6643,85,0.6658,0.6628
blurexp43,aligned,pherc0139-w039,020000,546650,175084,0.6323,81,0.605,0.6622
blurexp43,aligned,pherc0139-w040,020000,1548382,687666,0.6792,76,0.6161,0.7566
blurexp43,aligned,pherc0139-w041,020000,526815,219912,0.7078,80,0.6898,0.7269
blurexp43,native,w035,020000,1069617,333586,0.624,81,0.6661,0.587
blurexp43,native,w039,020000,574928,182382,0.5446,74,0.4417,0.7101
blurexp43,native,w040,020000,1626899,716419,0.6261,71,0.4949,0.8521
blurexp43,native,w041,020000,554742,229850,0.6805,80,0.6581,0.7045
