arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
ft42,phercparis4-w01,002500,8268843,2163941,0.8573,129,0.8651,0.8496
ft42,phercparis4-w01,005000,8268843,2163941,0.8512,130,0.8622,0.8406
ft42,phercparis4-w01,007500,8268843,2163941,0.8523,126,0.8674,0.8377
ft42,phercparis4-w01,010000,8268843,2163941,0.8525,115,0.8606,0.8447
ft43,phercparis4-w01,002500,8268843,2163941,0.8678,112,0.8821,0.8540
ft43,phercparis4-w01,005000,8268843,2163941,0.8597,120,0.8756,0.8443
ft43,phercparis4-w01,007500,8268843,2163941,0.8595,126,0.8752,0.8443
ft43,phercparis4-w01,010000,8268843,2163941,0.8584,118,0.8711,0.8461
ft42,phercparis4-w02,002500,4653221,1088446,0.8122,108,0.8092,0.8153
ft42,phercparis4-w02,005000,4653221,1088446,0.8047,107,0.8107,0.7987
ft42,phercparis4-w02,007500,4653221,1088446,0.8073,92,0.7908,0.8244
ft42,phercparis4-w02,010000,4653221,1088446,0.8067,88,0.8003,0.8132
ft43,phercparis4-w02,002500,4653221,1088446,0.8280,84,0.8276,0.8284
ft43,phercparis4-w02,005000,4653221,1088446,0.8227,94,0.8271,0.8183
ft43,phercparis4-w02,007500,4653221,1088446,0.8187,102,0.8301,0.8076
ft43,phercparis4-w02,010000,4653221,1088446,0.8188,95,0.8330,0.8051
ft42,phercparis4-w03,002500,6169508,2125255,0.8143,97,0.8166,0.8120
ft42,phercparis4-w03,005000,6169508,2125255,0.8082,94,0.8210,0.7957
ft42,phercparis4-w03,007500,6169508,2125255,0.8028,93,0.8256,0.7813
ft42,phercparis4-w03,010000,6169508,2125255,0.8023,85,0.8183,0.7870
ft43,phercparis4-w03,002500,6169508,2125255,0.8303,74,0.8256,0.8350
ft43,phercparis4-w03,005000,6169508,2125255,0.8271,84,0.8272,0.8270
ft43,phercparis4-w03,007500,6169508,2125255,0.8252,87,0.8343,0.8162
ft43,phercparis4-w03,010000,6169508,2125255,0.8241,82,0.8366,0.8119
ft42,phercparis4-w05,002500,31930770,6737328,0.7620,103,0.7985,0.7287
ft42,phercparis4-w05,005000,31930770,6737328,0.7625,101,0.8062,0.7233
ft42,phercparis4-w05,007500,31930770,6737328,0.7614,97,0.8119,0.7169
ft42,phercparis4-w05,010000,31930770,6737328,0.7635,90,0.8135,0.7193
ft43,phercparis4-w05,002500,31930770,6737328,0.7898,81,0.8245,0.7578
ft43,phercparis4-w05,005000,31930770,6737328,0.7856,87,0.8188,0.7549
ft43,phercparis4-w05,007500,31930770,6737328,0.7828,92,0.8299,0.7407
ft43,phercparis4-w05,010000,31930770,6737328,0.7837,86,0.8326,0.7403
ft42,phercparis4-w06,002500,11074717,3443040,0.7880,99,0.7983,0.7779
ft42,phercparis4-w06,005000,11074717,3443040,0.7858,99,0.8039,0.7684
ft42,phercparis4-w06,007500,11074717,3443040,0.7824,95,0.8088,0.7576
ft42,phercparis4-w06,010000,11074717,3443040,0.7822,89,0.8138,0.7530
ft43,phercparis4-w06,002500,11074717,3443040,0.8066,83,0.8221,0.7916
ft43,phercparis4-w06,005000,11074717,3443040,0.7971,86,0.8052,0.7892
ft43,phercparis4-w06,007500,11074717,3443040,0.7986,91,0.8175,0.7806
ft43,phercparis4-w06,010000,11074717,3443040,0.7971,85,0.8132,0.7816
ft42,phercparis4-w07,002500,16003870,5022838,0.7846,101,0.7753,0.7942
ft42,phercparis4-w07,005000,16003870,5022838,0.7757,103,0.7789,0.7726
ft42,phercparis4-w07,007500,16003870,5022838,0.7778,97,0.7762,0.7794
ft42,phercparis4-w07,010000,16003870,5022838,0.7759,93,0.7854,0.7667
ft43,phercparis4-w07,002500,16003870,5022838,0.8037,80,0.8052,0.8023
ft43,phercparis4-w07,005000,16003870,5022838,0.7952,90,0.7968,0.7936
ft43,phercparis4-w07,007500,16003870,5022838,0.7950,93,0.8055,0.7848
ft43,phercparis4-w07,010000,16003870,5022838,0.7945,87,0.8036,0.7856
ft42,phercparis4-w09,002500,5238005,1487875,0.7947,131,0.8027,0.7868
ft42,phercparis4-w09,005000,5238005,1487875,0.8039,125,0.8031,0.8046
ft42,phercparis4-w09,007500,5238005,1487875,0.7975,128,0.7980,0.7969
ft42,phercparis4-w09,010000,5238005,1487875,0.8020,120,0.8043,0.7998
ft43,phercparis4-w09,002500,5238005,1487875,0.8258,101,0.8286,0.8230
ft43,phercparis4-w09,005000,5238005,1487875,0.8149,111,0.8057,0.8243
ft43,phercparis4-w09,007500,5238005,1487875,0.8097,126,0.8199,0.7998
ft43,phercparis4-w09,010000,5238005,1487875,0.8104,116,0.8132,0.8077
