arm,seed,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
keep0500,42,phercparis4-w01,002500,8268843,2163941,0.8233,130,0.8461,0.8016
keep0500,42,phercparis4-w01,005000,8268843,2163941,0.8228,105,0.8426,0.8039
keep0500,43,phercparis4-w01,002500,8268843,2163941,0.8403,116,0.8608,0.8207
keep0500,43,phercparis4-w01,005000,8268843,2163941,0.8373,115,0.8572,0.8182
keep0250,42,phercparis4-w01,002500,8268843,2163941,0.7731,122,0.7927,0.7545
keep0250,42,phercparis4-w01,005000,8268843,2163941,0.7863,116,0.8080,0.7658
keep0250,43,phercparis4-w01,002500,8268843,2163941,0.8029,110,0.8116,0.7943
keep0250,43,phercparis4-w01,005000,8268843,2163941,0.8057,119,0.8246,0.7877
keep0125,42,phercparis4-w01,002500,8268843,2163941,0.7251,90,0.7433,0.7077
keep0125,42,phercparis4-w01,005000,8268843,2163941,0.6956,81,0.7208,0.6722
keep0125,43,phercparis4-w01,002500,8268843,2163941,0.7539,103,0.7655,0.7427
keep0125,43,phercparis4-w01,005000,8268843,2163941,0.7265,88,0.7515,0.7031
keep0500,42,phercparis4-w02,002500,4653221,1088446,0.7711,95,0.7684,0.7738
keep0500,42,phercparis4-w02,005000,4653221,1088446,0.7594,81,0.7837,0.7366
keep0500,43,phercparis4-w02,002500,4653221,1088446,0.7940,88,0.7970,0.7910
keep0500,43,phercparis4-w02,005000,4653221,1088446,0.7864,86,0.7937,0.7792
keep0250,42,phercparis4-w02,002500,4653221,1088446,0.6873,91,0.6891,0.6855
keep0250,42,phercparis4-w02,005000,4653221,1088446,0.7127,85,0.7146,0.7109
keep0250,43,phercparis4-w02,002500,4653221,1088446,0.7314,86,0.7638,0.7015
keep0250,43,phercparis4-w02,005000,4653221,1088446,0.7069,86,0.7396,0.6770
keep0125,42,phercparis4-w02,002500,4653221,1088446,0.6075,75,0.6426,0.5761
keep0125,42,phercparis4-w02,005000,4653221,1088446,0.5978,70,0.6371,0.5632
keep0125,43,phercparis4-w02,002500,4653221,1088446,0.6639,77,0.6887,0.6407
keep0125,43,phercparis4-w02,005000,4653221,1088446,0.6262,71,0.6558,0.5992
keep0500,42,phercparis4-w03,002500,6169508,2125255,0.7798,89,0.8072,0.7543
keep0500,42,phercparis4-w03,005000,6169508,2125255,0.7737,79,0.8126,0.7384
keep0500,43,phercparis4-w03,002500,6169508,2125255,0.7968,78,0.8071,0.7867
keep0500,43,phercparis4-w03,005000,6169508,2125255,0.7888,79,0.8137,0.7654
keep0250,42,phercparis4-w03,002500,6169508,2125255,0.7149,92,0.7332,0.6974
keep0250,42,phercparis4-w03,005000,6169508,2125255,0.7226,86,0.7553,0.6926
keep0250,43,phercparis4-w03,002500,6169508,2125255,0.7382,84,0.7641,0.7140
keep0250,43,phercparis4-w03,005000,6169508,2125255,0.7318,82,0.7488,0.7156
keep0125,42,phercparis4-w03,002500,6169508,2125255,0.6592,71,0.6633,0.6552
keep0125,42,phercparis4-w03,005000,6169508,2125255,0.6281,69,0.6473,0.6100
keep0125,43,phercparis4-w03,002500,6169508,2125255,0.7055,75,0.7111,0.7001
keep0125,43,phercparis4-w03,005000,6169508,2125255,0.6763,69,0.6906,0.6627
keep0500,42,phercparis4-w05,002500,31930770,6737328,0.7188,101,0.7714,0.6729
keep0500,42,phercparis4-w05,005000,31930770,6737328,0.7139,87,0.7730,0.6632
keep0500,43,phercparis4-w05,002500,31930770,6737328,0.7431,93,0.7983,0.6951
keep0500,43,phercparis4-w05,005000,31930770,6737328,0.7435,92,0.8004,0.6941
keep0250,42,phercparis4-w05,002500,31930770,6737328,0.6421,105,0.6918,0.5990
keep0250,42,phercparis4-w05,005000,31930770,6737328,0.6508,97,0.7133,0.5984
keep0250,43,phercparis4-w05,002500,31930770,6737328,0.6906,100,0.7633,0.6305
keep0250,43,phercparis4-w05,005000,31930770,6737328,0.6721,103,0.7343,0.6197
keep0125,42,phercparis4-w05,002500,31930770,6737328,0.5668,78,0.6160,0.5249
keep0125,42,phercparis4-w05,005000,31930770,6737328,0.5371,72,0.5895,0.4932
keep0125,43,phercparis4-w05,002500,31930770,6737328,0.6389,85,0.6952,0.5911
keep0125,43,phercparis4-w05,005000,31930770,6737328,0.6010,78,0.6644,0.5487
keep0500,42,phercparis4-w06,002500,11074717,3443040,0.7606,94,0.7876,0.7353
keep0500,42,phercparis4-w06,005000,11074717,3443040,0.7539,79,0.7869,0.7235
keep0500,43,phercparis4-w06,002500,11074717,3443040,0.7727,87,0.7968,0.7500
keep0500,43,phercparis4-w06,005000,11074717,3443040,0.7730,84,0.7931,0.7539
keep0250,42,phercparis4-w06,002500,11074717,3443040,0.6880,91,0.7028,0.6738
keep0250,42,phercparis4-w06,005000,11074717,3443040,0.6948,85,0.7215,0.6701
keep0250,43,phercparis4-w06,002500,11074717,3443040,0.7164,92,0.7586,0.6787
keep0250,43,phercparis4-w06,005000,11074717,3443040,0.7134,91,0.7417,0.6871
keep0125,42,phercparis4-w06,002500,11074717,3443040,0.6272,72,0.6569,0.6002
keep0125,42,phercparis4-w06,005000,11074717,3443040,0.6046,69,0.6494,0.5655
keep0125,43,phercparis4-w06,002500,11074717,3443040,0.6814,79,0.7079,0.6569
keep0125,43,phercparis4-w06,005000,11074717,3443040,0.6583,72,0.6818,0.6363
keep0500,42,phercparis4-w07,002500,16003870,5022838,0.7401,97,0.7391,0.7411
keep0500,42,phercparis4-w07,005000,16003870,5022838,0.7359,80,0.7409,0.7310
keep0500,43,phercparis4-w07,002500,16003870,5022838,0.7656,86,0.7721,0.7592
keep0500,43,phercparis4-w07,005000,16003870,5022838,0.7651,85,0.7711,0.7592
keep0250,42,phercparis4-w07,002500,16003870,5022838,0.6736,94,0.6735,0.6737
keep0250,42,phercparis4-w07,005000,16003870,5022838,0.6808,88,0.6909,0.6710
keep0250,43,phercparis4-w07,002500,16003870,5022838,0.7075,86,0.7230,0.6927
keep0250,43,phercparis4-w07,005000,16003870,5022838,0.6982,84,0.6965,0.6998
keep0125,42,phercparis4-w07,002500,16003870,5022838,0.6317,72,0.6043,0.6617
keep0125,42,phercparis4-w07,005000,16003870,5022838,0.5925,68,0.5765,0.6094
keep0125,43,phercparis4-w07,002500,16003870,5022838,0.6716,80,0.6812,0.6622
keep0125,43,phercparis4-w07,005000,16003870,5022838,0.6386,73,0.6530,0.6247
keep0500,42,phercparis4-w09,002500,5238005,1487875,0.7875,127,0.7937,0.7815
keep0500,42,phercparis4-w09,005000,5238005,1487875,0.7923,106,0.8017,0.7831
keep0500,43,phercparis4-w09,002500,5238005,1487875,0.8052,110,0.8108,0.7997
keep0500,43,phercparis4-w09,005000,5238005,1487875,0.7990,119,0.8104,0.7880
keep0250,42,phercparis4-w09,002500,5238005,1487875,0.7522,125,0.7451,0.7594
keep0250,42,phercparis4-w09,005000,5238005,1487875,0.7651,124,0.7868,0.7446
keep0250,43,phercparis4-w09,002500,5238005,1487875,0.7834,109,0.7820,0.7849
keep0250,43,phercparis4-w09,005000,5238005,1487875,0.7729,118,0.7793,0.7666
keep0125,42,phercparis4-w09,002500,5238005,1487875,0.7282,111,0.7507,0.7071
keep0125,42,phercparis4-w09,005000,5238005,1487875,0.7221,92,0.7409,0.7043
keep0125,43,phercparis4-w09,002500,5238005,1487875,0.7638,113,0.7660,0.7617
keep0125,43,phercparis4-w09,005000,5238005,1487875,0.7424,101,0.7529,0.7323
