segment,family,seed,step,stratum,px,ink_density,best_f1,best_threshold,precision,recall
pherc0139-w016,released,42,010000,<64,51311,0.1278,0.7102,134,0.6852,0.7370
pherc0139-w016,released,42,010000,64-128,51400,0.2808,0.6574,124,0.5922,0.7388
pherc0139-w016,released,42,010000,128-256,70916,0.2851,0.6838,131,0.6571,0.7128
pherc0139-w016,released,42,020000,<64,51311,0.1278,0.7948,143,0.7822,0.8078
pherc0139-w016,released,42,020000,64-128,51400,0.2808,0.6775,114,0.7008,0.6558
pherc0139-w016,released,42,020000,128-256,70916,0.2851,0.7996,104,0.7248,0.8916
pherc0139-w016,released,42,030000,<64,51311,0.1278,0.7322,137,0.7486,0.7164
pherc0139-w016,released,42,030000,64-128,51400,0.2808,0.6523,99,0.7093,0.6038
pherc0139-w016,released,42,030000,128-256,70916,0.2851,0.5572,69,0.4607,0.7050
pherc0139-w016,released,42,040000,<64,51311,0.1278,0.7386,157,0.9019,0.6254
pherc0139-w016,released,42,040000,64-128,51400,0.2808,0.5786,74,0.4566,0.7896
pherc0139-w016,released,42,040000,128-256,70916,0.2851,0.6551,134,0.7045,0.6121
pherc0139-w016,released,42,050000,<64,51311,0.1278,0.7363,173,0.8805,0.6327
pherc0139-w016,released,42,050000,64-128,51400,0.2808,0.5843,89,0.5064,0.6905
pherc0139-w016,released,42,050000,128-256,70916,0.2851,0.5537,76,0.4771,0.6596
pherc0139-w016,released,42,060000,<64,51311,0.1278,0.7624,140,0.9034,0.6594
pherc0139-w016,released,42,060000,64-128,51400,0.2808,0.5725,68,0.4239,0.8815
pherc0139-w016,released,42,060000,128-256,70916,0.2851,0.5475,86,0.4368,0.7333
pherc0139-w016,released,42,075000,<64,51311,0.1278,0.7569,136,0.9053,0.6502
pherc0139-w016,released,42,075000,64-128,51400,0.2808,0.5095,66,0.3954,0.7163
pherc0139-w016,released,42,075000,128-256,70916,0.2851,0.5712,139,0.7646,0.4558
pherc0139-w016,released,43,010000,<64,51311,0.1278,0.6595,98,0.5618,0.7984
pherc0139-w016,released,43,010000,64-128,51400,0.2808,0.6826,112,0.6557,0.7118
pherc0139-w016,released,43,010000,128-256,70916,0.2851,0.6915,114,0.6513,0.7370
pherc0139-w016,released,43,020000,<64,51311,0.1278,0.7262,98,0.6277,0.8613
pherc0139-w016,released,43,020000,64-128,51400,0.2808,0.7737,96,0.6858,0.8876
pherc0139-w016,released,43,020000,128-256,70916,0.2851,0.7363,89,0.6347,0.8767
pherc0139-w016,released,43,030000,<64,51311,0.1278,0.8333,182,0.8269,0.8397
pherc0139-w016,released,43,030000,64-128,51400,0.2808,0.7265,79,0.6183,0.8807
pherc0139-w016,released,43,030000,128-256,70916,0.2851,0.6517,131,0.6520,0.6514
pherc0139-w016,released,43,040000,<64,51311,0.1278,0.7418,165,0.7047,0.7829
pherc0139-w016,released,43,040000,64-128,51400,0.2808,0.7379,117,0.6773,0.8104
pherc0139-w016,released,43,040000,128-256,70916,0.2851,0.6987,108,0.6114,0.8151
pherc0139-w016,released,43,050000,<64,51311,0.1278,0.7988,188,0.7961,0.8016
pherc0139-w016,released,43,050000,64-128,51400,0.2808,0.6934,113,0.6579,0.7330
pherc0139-w016,released,43,050000,128-256,70916,0.2851,0.7154,116,0.6320,0.8242
pherc0139-w016,released,43,060000,<64,51311,0.1278,0.8366,157,0.8267,0.8469
pherc0139-w016,released,43,060000,64-128,51400,0.2808,0.6847,128,0.8230,0.5862
pherc0139-w016,released,43,060000,128-256,70916,0.2851,0.7359,121,0.7131,0.7601
pherc0139-w016,released,43,075000,<64,51311,0.1278,0.8255,110,0.7592,0.9045
pherc0139-w016,released,43,075000,64-128,51400,0.2808,0.7787,100,0.7672,0.7907
pherc0139-w016,released,43,075000,128-256,70916,0.2851,0.7323,95,0.6424,0.8513
pherc0139-w016,loso,42,010000,<64,51311,0.1278,0.5905,81,0.4665,0.8041
pherc0139-w016,loso,42,010000,64-128,51400,0.2808,0.5091,74,0.3701,0.8156
pherc0139-w016,loso,42,010000,128-256,70916,0.2851,0.5377,91,0.4548,0.6576
pherc0139-w016,loso,42,020000,<64,51311,0.1278,0.4562,73,0.3869,0.5557
pherc0139-w016,loso,42,020000,64-128,51400,0.2808,0.5424,76,0.5758,0.5126
pherc0139-w016,loso,42,020000,128-256,70916,0.2851,0.5932,81,0.5647,0.6248
pherc0139-w016,loso,42,030000,<64,51311,0.1278,0.5039,78,0.4111,0.6509
pherc0139-w016,loso,42,030000,64-128,51400,0.2808,0.4942,78,0.4544,0.5418
pherc0139-w016,loso,42,030000,128-256,70916,0.2851,0.5147,85,0.5280,0.5020
pherc0139-w016,loso,42,040000,<64,51311,0.1278,0.6630,69,0.5621,0.8080
pherc0139-w016,loso,42,040000,64-128,51400,0.2808,0.4575,63,0.3217,0.7919
pherc0139-w016,loso,42,040000,128-256,70916,0.2851,0.5127,63,0.3746,0.8120
pherc0139-w016,loso,42,050000,<64,51311,0.1278,0.4908,82,0.5588,0.4375
pherc0139-w016,loso,42,050000,64-128,51400,0.2808,0.5674,68,0.5214,0.6224
pherc0139-w016,loso,42,050000,128-256,70916,0.2851,0.4446,60,0.2864,0.9938
pherc0139-w016,loso,42,060000,<64,51311,0.1278,0.4720,69,0.3344,0.8022
pherc0139-w016,loso,42,060000,64-128,51400,0.2808,0.5560,68,0.4858,0.6499
pherc0139-w016,loso,42,060000,128-256,70916,0.2851,0.5578,72,0.4856,0.6552
pherc0139-w016,loso,42,075000,<64,51311,0.1278,0.4482,74,0.3224,0.7349
pherc0139-w016,loso,42,075000,64-128,51400,0.2808,0.4627,62,0.3054,0.9539
pherc0139-w016,loso,42,075000,128-256,70916,0.2851,0.5316,83,0.5117,0.5531
pherc0139-w016,loso,43,010000,<64,51311,0.1278,0.3722,80,0.2738,0.5810
pherc0139-w016,loso,43,010000,64-128,51400,0.2808,0.5295,78,0.3719,0.9193
pherc0139-w016,loso,43,010000,128-256,70916,0.2851,0.5824,84,0.4869,0.7243
pherc0139-w016,loso,43,020000,<64,51311,0.1278,0.5313,77,0.3882,0.8414
pherc0139-w016,loso,43,020000,64-128,51400,0.2808,0.5139,70,0.3880,0.7607
pherc0139-w016,loso,43,020000,128-256,70916,0.2851,0.5832,80,0.4678,0.7744
pherc0139-w016,loso,43,030000,<64,51311,0.1278,0.4246,70,0.3065,0.6907
pherc0139-w016,loso,43,030000,64-128,51400,0.2808,0.6289,67,0.5043,0.8353
pherc0139-w016,loso,43,030000,128-256,70916,0.2851,0.6120,81,0.5662,0.6660
pherc0139-w016,loso,43,040000,<64,51311,0.1278,0.7173,89,0.6916,0.7450
pherc0139-w016,loso,43,040000,64-128,51400,0.2808,0.5707,66,0.4725,0.7204
pherc0139-w016,loso,43,040000,128-256,70916,0.2851,0.6195,72,0.5328,0.7400
pherc0139-w016,loso,43,050000,<64,51311,0.1278,0.4758,66,0.3518,0.7347
pherc0139-w016,loso,43,050000,64-128,51400,0.2808,0.5784,64,0.4964,0.6928
pherc0139-w016,loso,43,050000,128-256,70916,0.2851,0.7141,71,0.5965,0.8894
pherc0139-w016,loso,43,060000,<64,51311,0.1278,0.6032,76,0.6020,0.6043
pherc0139-w016,loso,43,060000,64-128,51400,0.2808,0.5731,64,0.4844,0.7015
pherc0139-w016,loso,43,060000,128-256,70916,0.2851,0.6906,73,0.6053,0.8038
pherc0139-w016,loso,43,075000,<64,51311,0.1278,0.7496,83,0.7005,0.8060
pherc0139-w016,loso,43,075000,64-128,51400,0.2808,0.5752,66,0.5106,0.6587
pherc0139-w016,loso,43,075000,128-256,70916,0.2851,0.6065,77,0.5739,0.6430
pherc1667-w029,released,42,010000,<64,44574,0.1190,0.4901,172,0.7345,0.3677
pherc1667-w029,released,42,010000,128-256,85215,0.3160,0.8452,111,0.8333,0.8575
pherc1667-w029,released,42,010000,>=256,208579,0.2675,0.5754,122,0.5398,0.6159
pherc1667-w029,released,42,020000,<64,44574,0.1190,0.6333,177,0.8723,0.4971
pherc1667-w029,released,42,020000,128-256,85215,0.3160,0.7874,103,0.7546,0.8232
pherc1667-w029,released,42,020000,>=256,208579,0.2675,0.6884,138,0.6893,0.6876
pherc1667-w029,released,42,030000,<64,44574,0.1190,0.7392,155,0.8808,0.6368
pherc1667-w029,released,42,030000,128-256,85215,0.3160,0.7900,87,0.7213,0.8731
pherc1667-w029,released,42,030000,>=256,208579,0.2675,0.7381,115,0.7019,0.7783
pherc1667-w029,released,42,040000,<64,44574,0.1190,0.7486,161,0.8395,0.6755
pherc1667-w029,released,42,040000,128-256,85215,0.3160,0.7498,85,0.6657,0.8581
pherc1667-w029,released,42,040000,>=256,208579,0.2675,0.6994,127,0.7021,0.6968
pherc1667-w029,released,42,050000,<64,44574,0.1190,0.7829,145,0.8595,0.7188
pherc1667-w029,released,42,050000,128-256,85215,0.3160,0.6363,97,0.5820,0.7017
pherc1667-w029,released,42,050000,>=256,208579,0.2675,0.7071,116,0.6645,0.7556
pherc1667-w029,released,42,060000,<64,44574,0.1190,0.8126,97,0.8003,0.8252
pherc1667-w029,released,42,060000,128-256,85215,0.3160,0.7179,81,0.6008,0.8918
pherc1667-w029,released,42,060000,>=256,208579,0.2675,0.6796,126,0.7051,0.6559
pherc1667-w029,released,42,075000,<64,44574,0.1190,0.7843,108,0.7458,0.8271
pherc1667-w029,released,42,075000,128-256,85215,0.3160,0.6983,73,0.5766,0.8849
pherc1667-w029,released,42,075000,>=256,208579,0.2675,0.6986,131,0.7811,0.6319
pherc1667-w029,released,43,010000,<64,44574,0.1190,0.5395,169,0.8538,0.3943
pherc1667-w029,released,43,010000,128-256,85215,0.3160,0.8048,108,0.7559,0.8604
pherc1667-w029,released,43,010000,>=256,208579,0.2675,0.6088,137,0.6426,0.5783
pherc1667-w029,released,43,020000,<64,44574,0.1190,0.8302,141,0.8792,0.7863
pherc1667-w029,released,43,020000,128-256,85215,0.3160,0.8363,103,0.7926,0.8852
pherc1667-w029,released,43,020000,>=256,208579,0.2675,0.7079,114,0.6429,0.7875
pherc1667-w029,released,43,030000,<64,44574,0.1190,0.6822,180,0.8036,0.5927
pherc1667-w029,released,43,030000,128-256,85215,0.3160,0.8635,126,0.9092,0.8223
pherc1667-w029,released,43,030000,>=256,208579,0.2675,0.7428,108,0.7019,0.7887
pherc1667-w029,released,43,040000,<64,44574,0.1190,0.8045,150,0.8291,0.7813
pherc1667-w029,released,43,040000,128-256,85215,0.3160,0.7803,112,0.6920,0.8944
pherc1667-w029,released,43,040000,>=256,208579,0.2675,0.7339,132,0.7307,0.7372
pherc1667-w029,released,43,050000,<64,44574,0.1190,0.7955,130,0.7431,0.8559
pherc1667-w029,released,43,050000,128-256,85215,0.3160,0.7932,103,0.7199,0.8831
pherc1667-w029,released,43,050000,>=256,208579,0.2675,0.7375,157,0.7715,0.7064
pherc1667-w029,released,43,060000,<64,44574,0.1190,0.8395,128,0.8413,0.8376
pherc1667-w029,released,43,060000,128-256,85215,0.3160,0.7974,111,0.7424,0.8611
pherc1667-w029,released,43,060000,>=256,208579,0.2675,0.7421,128,0.7380,0.7462
pherc1667-w029,released,43,075000,<64,44574,0.1190,0.8843,100,0.8733,0.8955
pherc1667-w029,released,43,075000,128-256,85215,0.3160,0.7924,104,0.7148,0.8890
pherc1667-w029,released,43,075000,>=256,208579,0.2675,0.7543,141,0.8296,0.6916
pherc1667-w029,loso,42,010000,<64,44574,0.1190,0.3164,105,0.2022,0.7273
pherc1667-w029,loso,42,010000,128-256,85215,0.3160,0.6536,83,0.5257,0.8639
pherc1667-w029,loso,42,010000,>=256,208579,0.2675,0.4988,107,0.4043,0.6510
pherc1667-w029,loso,42,020000,<64,44574,0.1190,0.4283,144,0.3701,0.5082
pherc1667-w029,loso,42,020000,128-256,85215,0.3160,0.6999,82,0.6324,0.7835
pherc1667-w029,loso,42,020000,>=256,208579,0.2675,0.5775,103,0.5189,0.6512
pherc1667-w029,loso,42,030000,<64,44574,0.1190,0.3696,122,0.2595,0.6419
pherc1667-w029,loso,42,030000,128-256,85215,0.3160,0.5883,70,0.5528,0.6286
pherc1667-w029,loso,42,030000,>=256,208579,0.2675,0.5300,97,0.5090,0.5528
pherc1667-w029,loso,42,040000,<64,44574,0.1190,0.4588,139,0.3543,0.6506
