arm,segment,kind,tag,best_f1,best_threshold,precision,recall
noParis4,phercparis4-w00,seed_mean,010000,0.4061,88,0.2962,0.6452
noParis4,phercparis4-w00,seed_mean,020000,0.4255,91,0.3216,0.6286
noParis4,phercparis4-w00,seed_mean,030000,0.3851,66,0.2474,0.8686
noParis4,phercparis4-w00,seed_mean,040000,0.3847,64,0.2445,0.9017
noParis4,phercparis4-w00,seed_mean,050000,0.3887,67,0.2558,0.8091
noParis4,phercparis4-w00,seed_mean,060000,0.3839,65,0.2484,0.8445
noParis4,phercparis4-w00,seed_mean,075000,0.3839,64,0.2456,0.8790
noParis4,phercparis4-w00,step_mean,s42,0.4063,83,0.2902,0.6772
noParis4,phercparis4-w00,step_mean,s43,0.4081,81,0.2859,0.7130
noParis4,phercparis4-w01,seed_mean,010000,0.4612,89,0.3638,0.6299
noParis4,phercparis4-w01,seed_mean,020000,0.4710,88,0.3649,0.6643
noParis4,phercparis4-w01,seed_mean,030000,0.4521,74,0.3230,0.7531
noParis4,phercparis4-w01,seed_mean,040000,0.4334,68,0.2985,0.7905
noParis4,phercparis4-w01,seed_mean,050000,0.4496,73,0.3276,0.7164
noParis4,phercparis4-w01,seed_mean,060000,0.4429,70,0.3096,0.7779
noParis4,phercparis4-w01,seed_mean,075000,0.4369,69,0.3097,0.7419
noParis4,phercparis4-w01,step_mean,s42,0.4702,86,0.3651,0.6604
noParis4,phercparis4-w01,step_mean,s43,0.4595,86,0.3551,0.6505
noParis4,phercparis4-w02,seed_mean,010000,0.4011,82,0.2685,0.7922
noParis4,phercparis4-w02,seed_mean,020000,0.4233,96,0.3462,0.5444
noParis4,phercparis4-w02,seed_mean,030000,0.4238,76,0.3012,0.7144
noParis4,phercparis4-w02,seed_mean,040000,0.3981,67,0.2654,0.7961
noParis4,phercparis4-w02,seed_mean,050000,0.4148,71,0.2888,0.7357
noParis4,phercparis4-w02,seed_mean,060000,0.4106,70,0.2789,0.7785
noParis4,phercparis4-w02,seed_mean,075000,0.3958,71,0.2799,0.6754
noParis4,phercparis4-w02,step_mean,s42,0.4173,79,0.2871,0.7636
noParis4,phercparis4-w02,step_mean,s43,0.4192,81,0.2942,0.7284
noParis4,phercparis4-w03,seed_mean,010000,0.5174,77,0.3621,0.9060
noParis4,phercparis4-w03,seed_mean,020000,0.5319,76,0.3924,0.8253
noParis4,phercparis4-w03,seed_mean,030000,0.5344,70,0.3952,0.8249
noParis4,phercparis4-w03,seed_mean,040000,0.5271,66,0.3776,0.8727
noParis4,phercparis4-w03,seed_mean,050000,0.5285,68,0.3832,0.8513
noParis4,phercparis4-w03,seed_mean,060000,0.5252,66,0.3727,0.8885
noParis4,phercparis4-w03,seed_mean,075000,0.5205,65,0.3720,0.8667
noParis4,phercparis4-w03,step_mean,s42,0.5271,75,0.3848,0.8366
noParis4,phercparis4-w03,step_mean,s43,0.5274,76,0.3881,0.8230
noParis4,phercparis4-w05,seed_mean,010000,0.3720,85,0.2595,0.6569
noParis4,phercparis4-w05,seed_mean,020000,0.3991,88,0.2960,0.6122
noParis4,phercparis4-w05,seed_mean,030000,0.3817,73,0.2616,0.7058
noParis4,phercparis4-w05,seed_mean,040000,0.3686,67,0.2437,0.7563
noParis4,phercparis4-w05,seed_mean,050000,0.3735,71,0.2575,0.6800
noParis4,phercparis4-w05,seed_mean,060000,0.3680,69,0.2481,0.7118
