arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,pherc0139-w016,010000,418652,89632,0.4806,83,0.3801,0.6532,0.3163,0.6815
loso42,pherc0139-w016,020000,418652,89632,0.5018,84,0.4968,0.5068,0.3349,0.6835
loso42,pherc0139-w016,030000,418652,89632,0.5444,80,0.4650,0.6567,0.3740,0.7254
loso42,pherc0139-w016,040000,418652,89632,0.5134,70,0.4667,0.5705,0.3454,0.6965
loso42,pherc0139-w016,050000,418652,89632,0.4342,66,0.3311,0.6304,0.2773,0.6417
loso42,pherc0139-w016,060000,418652,89632,0.4830,68,0.3874,0.6412,0.3184,0.6825
loso42,pherc0139-w016,075000,418652,89632,0.4878,70,0.3837,0.6693,0.3225,0.6882
loso43,pherc0139-w016,010000,418652,89632,0.4842,87,0.4266,0.5597,0.3194,0.6774
loso43,pherc0139-w016,020000,418652,89632,0.5725,90,0.5697,0.5753,0.4010,0.7285
loso43,pherc0139-w016,030000,418652,89632,0.4516,93,0.5007,0.4113,0.2916,0.6498
loso43,pherc0139-w016,040000,418652,89632,0.4582,74,0.3769,0.5842,0.2972,0.6605
loso43,pherc0139-w016,050000,418652,89632,0.4997,71,0.4420,0.5747,0.3331,0.6885
loso43,pherc0139-w016,060000,418652,89632,0.5567,77,0.5300,0.5863,0.3857,0.7223
loso43,pherc0139-w016,075000,418652,89632,0.5462,74,0.5015,0.5996,0.3757,0.7186
ref42,pherc0139-w016,010000,418652,89632,0.7246,137,0.7049,0.7454,0.5681,0.8302
ref42,pherc0139-w016,020000,418652,89632,0.8951,151,0.8930,0.8971,0.8100,0.9339
ref42,pherc0139-w016,030000,418652,89632,0.9457,143,0.9378,0.9537,0.8970,0.9682
ref42,pherc0139-w016,040000,418652,89632,0.9617,137,0.9606,0.9628,0.9262,0.9760
ref42,pherc0139-w016,050000,418652,89632,0.9717,130,0.9657,0.9777,0.9449,0.9841
ref42,pherc0139-w016,060000,418652,89632,0.9811,138,0.9784,0.9838,0.9629,0.9890
ref42,pherc0139-w016,075000,418652,89632,0.9842,137,0.9833,0.9851,0.9688,0.9903
ref43,pherc0139-w016,010000,418652,89632,0.7103,117,0.6636,0.7641,0.5508,0.8293
ref43,pherc0139-w016,020000,418652,89632,0.8334,133,0.7841,0.8892,0.7143,0.9112
ref43,pherc0139-w016,030000,418652,89632,0.9286,148,0.9212,0.9361,0.8667,0.9572
ref43,pherc0139-w016,040000,418652,89632,0.9569,145,0.9498,0.9642,0.9174,0.9752
ref43,pherc0139-w016,050000,418652,89632,0.9686,136,0.9637,0.9735,0.9391,0.9818
ref43,pherc0139-w016,060000,418652,89632,0.9769,140,0.9728,0.9810,0.9548,0.9868
