arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,phercparis4-w00,010000,5799353,1335408,0.4196,88,0.3201,0.6090,0.2655,0.6110
loso42,phercparis4-w00,020000,5799353,1335408,0.4100,81,0.2852,0.7288,0.2579,0.5912
loso42,phercparis4-w00,030000,5799353,1335408,0.3874,65,0.2513,0.8445,0.2402,0.5460
loso42,phercparis4-w00,040000,5799353,1335408,0.3786,62,0.2401,0.8957,0.2335,0.5237
loso42,phercparis4-w00,050000,5799353,1335408,0.3845,64,0.2462,0.8773,0.2380,0.5369
loso42,phercparis4-w00,060000,5799353,1335408,0.3870,63,0.2473,0.8887,0.2399,0.5398
loso42,phercparis4-w00,075000,5799353,1335408,0.3797,62,0.2390,0.9224,0.2343,0.5220
loso43,phercparis4-w00,010000,5799353,1335408,0.3859,80,0.2513,0.8306,0.2391,0.5452
loso43,phercparis4-w00,020000,5799353,1335408,0.4263,86,0.3209,0.6349,0.2709,0.6165
loso43,phercparis4-w00,030000,5799353,1335408,0.3904,67,0.2611,0.7729,0.2425,0.5593
loso43,phercparis4-w00,040000,5799353,1335408,0.3919,67,0.2678,0.7304,0.2437,0.5664
loso43,phercparis4-w00,050000,5799353,1335408,0.3817,64,0.2488,0.8186,0.2358,0.5397
loso43,phercparis4-w00,060000,5799353,1335408,0.3747,59,0.2316,0.9813,0.2306,0.5036
loso43,phercparis4-w00,075000,5799353,1335408,0.3782,61,0.2379,0.9218,0.2332,0.5192
ref42,phercparis4-w00,010000,5799353,1335408,0.7896,154,0.8056,0.7741,0.6523,0.8591
ref42,phercparis4-w00,020000,5799353,1335408,0.8538,145,0.8632,0.8446,0.7450,0.9023
ref42,phercparis4-w00,030000,5799353,1335408,0.8767,145,0.8642,0.8896,0.7805,0.9239
ref42,phercparis4-w00,040000,5799353,1335408,0.8924,145,0.8798,0.9052,0.8056,0.9341
ref42,phercparis4-w00,050000,5799353,1335408,0.9018,142,0.8869,0.9172,0.8212,0.9411
ref42,phercparis4-w00,060000,5799353,1335408,0.9104,149,0.9030,0.9180,0.8356,0.9442
ref42,phercparis4-w00,075000,5799353,1335408,0.9180,150,0.9125,0.9235,0.8484,0.9485
ref43,phercparis4-w00,010000,5799353,1335408,0.7783,137,0.7800,0.7767,0.6371,0.8556
ref43,phercparis4-w00,020000,5799353,1335408,0.8484,134,0.8365,0.8607,0.7367,0.9052
ref43,phercparis4-w00,030000,5799353,1335408,0.8753,146,0.8674,0.8834,0.7783,0.9215
ref43,phercparis4-w00,040000,5799353,1335408,0.8913,145,0.8805,0.9024,0.8040,0.9329
ref43,phercparis4-w00,050000,5799353,1335408,0.9026,158,0.8981,0.9071,0.8225,0.9382
ref43,phercparis4-w00,060000,5799353,1335408,0.9093,153,0.9045,0.9142,0.8337,0.9427
ref43,phercparis4-w00,075000,5799353,1335408,0.9149,150,0.9094,0.9206,0.8432,0.9466
loso42,phercparis4-w02,010000,4653221,1088446,0.4027,81,0.2773,0.7349,0.2521,0.5750
loso42,phercparis4-w02,020000,4653221,1088446,0.4096,79,0.2864,0.7187,0.2575,0.5860
loso42,phercparis4-w02,030000,4653221,1088446,0.4181,71,0.2925,0.7326,0.2643,0.5958
loso42,phercparis4-w02,040000,4653221,1088446,0.3974,65,0.2629,0.8139,0.2480,0.5586
loso42,phercparis4-w02,050000,4653221,1088446,0.4043,67,0.2706,0.7989,0.2534,0.5707
loso42,phercparis4-w02,060000,4653221,1088446,0.4033,66,0.2724,0.7765,0.2526,0.5716
loso42,phercparis4-w02,075000,4653221,1088446,0.3875,64,0.2510,0.8502,0.2403,0.5377
loso43,phercparis4-w02,010000,4653221,1088446,0.3945,81,0.2603,0.8140,0.2457,0.5539
loso43,phercparis4-w02,020000,4653221,1088446,0.4174,78,0.2943,0.7177,0.2637,0.5961
loso43,phercparis4-w02,030000,4653221,1088446,0.4151,70,0.2897,0.7318,0.2619,0.5919
loso43,phercparis4-w02,040000,4653221,1088446,0.4046,67,0.2807,0.7242,0.2536,0.5788
loso43,phercparis4-w02,050000,4653221,1088446,0.4089,66,0.2825,0.7404,0.2570,0.5831
loso43,phercparis4-w02,060000,4653221,1088446,0.4057,68,0.2801,0.7349,0.2544,0.5792
loso43,phercparis4-w02,075000,4653221,1088446,0.3862,65,0.2652,0.7101,0.2393,0.5546
ref42,phercparis4-w02,010000,4653221,1088446,0.7621,138,0.7792,0.7457,0.6156,0.8406
ref42,phercparis4-w02,020000,4653221,1088446,0.8455,127,0.8538,0.8373,0.7323,0.8968
ref42,phercparis4-w02,030000,4653221,1088446,0.8587,123,0.8479,0.8697,0.7523,0.9110
ref42,phercparis4-w02,040000,4653221,1088446,0.8777,129,0.8679,0.8877,0.7821,0.9232
ref42,phercparis4-w02,050000,4653221,1088446,0.8932,130,0.8891,0.8974,0.8070,0.9316
ref42,phercparis4-w02,060000,4653221,1088446,0.9030,135,0.8994,0.9066,0.8231,0.9378
ref42,phercparis4-w02,075000,4653221,1088446,0.9161,136,0.9137,0.9185,0.8451,0.9460
ref43,phercparis4-w02,010000,4653221,1088446,0.7545,122,0.7417,0.7678,0.6058,0.8431
ref43,phercparis4-w02,020000,4653221,1088446,0.8225,116,0.8252,0.8198,0.6985,0.8834
ref43,phercparis4-w02,030000,4653221,1088446,0.8597,132,0.8585,0.8610,0.7540,0.9088
ref43,phercparis4-w02,040000,4653221,1088446,0.8809,131,0.8785,0.8833,0.7871,0.9230
ref43,phercparis4-w02,050000,4653221,1088446,0.8890,140,0.8822,0.8959,0.8002,0.9297
ref43,phercparis4-w02,060000,4653221,1088446,0.9025,134,0.8965,0.9086,0.8223,0.9383
ref43,phercparis4-w02,075000,4653221,1088446,0.9109,135,0.9060,0.9158,0.8363,0.9434
loso42,phercparis4-w01,010000,8268843,2163941,0.4678,87,0.3722,0.6294,0.3053,0.6265
loso42,phercparis4-w01,020000,8268843,2163941,0.4607,85,0.3525,0.6647,0.2993,0.6160
loso42,phercparis4-w01,030000,8268843,2163941,0.4437,70,0.3131,0.7614,0.2851,0.5846
loso42,phercparis4-w01,040000,8268843,2163941,0.4193,63,0.2755,0.8768,0.2653,0.5298
loso42,phercparis4-w01,050000,8268843,2163941,0.4336,69,0.3078,0.7333,0.2768,0.5744
loso42,phercparis4-w01,060000,8268843,2163941,0.4348,67,0.3064,0.7486,0.2778,0.5740
loso42,phercparis4-w01,075000,8268843,2163941,0.4295,66,0.2981,0.7685,0.2735,0.5635
loso43,phercparis4-w01,010000,8268843,2163941,0.4330,85,0.3130,0.7023,0.2763,0.5780
loso43,phercparis4-w01,020000,8268843,2163941,0.4621,83,0.3527,0.6700,0.3005,0.6171
loso43,phercparis4-w01,030000,8268843,2163941,0.4415,69,0.3109,0.7614,0.2833,0.5816
loso43,phercparis4-w01,040000,8268843,2163941,0.4424,67,0.3107,0.7682,0.2840,0.5820
loso43,phercparis4-w01,050000,8268843,2163941,0.4426,69,0.3257,0.6904,0.2842,0.5919
loso43,phercparis4-w01,060000,8268843,2163941,0.4373,67,0.3050,0.7726,0.2799,0.5743
loso43,phercparis4-w01,075000,8268843,2163941,0.4326,65,0.3014,0.7667,0.2760,0.5683
ref42,phercparis4-w01,010000,8268843,2163941,0.8062,150,0.8190,0.7938,0.6753,0.8658
ref42,phercparis4-w01,020000,8268843,2163941,0.8599,143,0.8728,0.8473,0.7542,0.9018
ref42,phercparis4-w01,030000,8268843,2163941,0.8784,144,0.8791,0.8778,0.7832,0.9175
ref42,phercparis4-w01,040000,8268843,2163941,0.8905,144,0.8814,0.8998,0.8026,0.9284
ref42,phercparis4-w01,050000,8268843,2163941,0.8995,142,0.8927,0.9065,0.8174,0.9339
ref42,phercparis4-w01,060000,8268843,2163941,0.9078,144,0.8982,0.9175,0.8311,0.9403
ref42,phercparis4-w01,075000,8268843,2163941,0.9144,147,0.9079,0.9210,0.8423,0.9440
ref43,phercparis4-w01,010000,8268843,2163941,0.8019,134,0.8024,0.8014,0.6693,0.8657
ref43,phercparis4-w01,020000,8268843,2163941,0.8509,136,0.8539,0.8479,0.7405,0.8983
ref43,phercparis4-w01,030000,8268843,2163941,0.8776,145,0.8768,0.8783,0.7818,0.9173
ref43,phercparis4-w01,040000,8268843,2163941,0.8830,145,0.8843,0.8817,0.7905,0.9204
ref43,phercparis4-w01,050000,8268843,2163941,0.8932,152,0.8871,0.8993,0.8070,0.9294
ref43,phercparis4-w01,060000,8268843,2163941,0.9008,147,0.8925,0.9092,0.8195,0.9352
ref43,phercparis4-w01,075000,8268843,2163941,0.9071,146,0.8993,0.9150,0.8300,0.9393
loso42,phercparis4-w03,010000,6169508,2125255,0.5180,74,0.3653,0.8906,0.3496,0.5386
loso42,phercparis4-w03,020000,6169508,2125255,0.5233,72,0.3782,0.8486,0.3543,0.5578
loso42,phercparis4-w03,030000,6169508,2125255,0.5281,68,0.3896,0.8196,0.3588,0.5723
loso42,phercparis4-w03,040000,6169508,2125255,0.5125,55,0.3446,0.9998,0.3445,0.5002
loso42,phercparis4-w03,050000,6169508,2125255,0.5178,65,0.3673,0.8771,0.3493,0.5415
loso42,phercparis4-w03,060000,6169508,2125255,0.5218,64,0.3702,0.8836,0.3530,0.5468
loso42,phercparis4-w03,075000,6169508,2125255,0.5152,64,0.3650,0.8755,0.3470,0.5376
loso43,phercparis4-w03,010000,6169508,2125255,0.5124,0,0.3445,1.0000,0.3445,0.5000
loso43,phercparis4-w03,020000,6169508,2125255,0.5331,75,0.4027,0.7887,0.3635,0.5869
loso43,phercparis4-w03,030000,6169508,2125255,0.5286,66,0.3871,0.8332,0.3593,0.5700
loso43,phercparis4-w03,040000,6169508,2125255,0.5358,66,0.4025,0.8012,0.3660,0.5881
loso43,phercparis4-w03,050000,6169508,2125255,0.5228,64,0.3776,0.8493,0.3539,0.5568
loso43,phercparis4-w03,060000,6169508,2125255,0.5198,64,0.3699,0.8735,0.3511,0.5459
