seed,segment,step,yardstick,scored_px,ink_px,best_f1,best_threshold,precision,recall
42,pherc1667-w013,002500,truth,3358647,1012040,0.5685,67,0.5004,0.658
42,pherc1667-w013,002500,pseudo,17700998,2338925,0.8976,124,0.9068,0.8887
42,pherc1667-w023,002500,truth,5403941,1295831,0.4511,68,0.3719,0.573
42,pherc1667-w023,002500,pseudo,21981070,2350802,0.8964,127,0.9129,0.8805
42,pherc1667-w028,002500,truth,844780,230538,0.5079,76,0.4015,0.691
42,pherc1667-w028,002500,pseudo,5383706,975913,0.9341,138,0.9355,0.9326
42,pherc1667-w029,002500,truth,1212915,356210,0.5662,83,0.512,0.6333
42,pherc1667-w029,002500,pseudo,5574425,1042273,0.9426,132,0.9447,0.9405
42,pherc1667-w031,002500,truth,2621780,624019,0.5274,73,0.4819,0.5824
42,pherc1667-w031,002500,pseudo,4736240,581129,0.9097,128,0.9142,0.9052
42,pherc1667-w013,005000,truth,3358647,1012040,0.5712,67,0.5148,0.6414
42,pherc1667-w013,005000,pseudo,17700998,2338925,0.917,117,0.9281,0.9061
42,pherc1667-w023,005000,truth,5403941,1295831,0.45,68,0.3879,0.5357
42,pherc1667-w023,005000,pseudo,21981070,2350802,0.9055,118,0.9176,0.8938
42,pherc1667-w028,005000,truth,844780,230538,0.5026,69,0.3843,0.7261
42,pherc1667-w028,005000,pseudo,5383706,975913,0.9503,140,0.955,0.9457
42,pherc1667-w029,005000,truth,1212915,356210,0.5693,83,0.5386,0.6037
42,pherc1667-w029,005000,pseudo,5574425,1042273,0.9588,128,0.9568,0.9609
42,pherc1667-w031,005000,truth,2621780,624019,0.5486,71,0.5157,0.5858
42,pherc1667-w031,005000,pseudo,4736240,581129,0.928,119,0.9369,0.9193
42,pherc1667-w013,010000,truth,3358647,1012040,0.5695,65,0.5118,0.6418
42,pherc1667-w013,010000,pseudo,17700998,2338925,0.9361,114,0.9453,0.9271
42,pherc1667-w023,010000,truth,5403941,1295831,0.4558,66,0.3914,0.5456
42,pherc1667-w023,010000,pseudo,21981070,2350802,0.925,115,0.9386,0.9119
42,pherc1667-w028,010000,truth,844780,230538,0.5066,118,0.4987,0.5147
42,pherc1667-w028,010000,pseudo,5383706,975913,0.9685,136,0.9733,0.9637
42,pherc1667-w029,010000,truth,1212915,356210,0.5811,80,0.5472,0.6194
42,pherc1667-w029,010000,pseudo,5574425,1042273,0.9701,130,0.9744,0.9658
42,pherc1667-w031,010000,truth,2621780,624019,0.5556,73,0.5738,0.5385
42,pherc1667-w031,010000,pseudo,4736240,581129,0.9561,117,0.9636,0.9486
43,pherc1667-w013,002500,truth,3358647,1012040,0.5575,68,0.4918,0.6436
43,pherc1667-w013,002500,pseudo,17906074,1696165,0.8909,108,0.9133,0.8695
43,pherc1667-w023,002500,truth,5403941,1295831,0.4428,69,0.3965,0.5013
43,pherc1667-w023,002500,pseudo,12381471,856184,0.8904,109,0.922,0.861
43,pherc1667-w028,002500,truth,844780,230538,0.5488,79,0.4704,0.6586
43,pherc1667-w028,002500,pseudo,5379400,856870,0.9393,122,0.9393,0.9393
43,pherc1667-w029,002500,truth,1212915,356210,0.599,84,0.6136,0.5851
43,pherc1667-w029,002500,pseudo,5602677,870194,0.9355,116,0.943,0.9281
43,pherc1667-w031,002500,truth,2621780,624019,0.5459,72,0.5626,0.5301
43,pherc1667-w031,002500,pseudo,4898536,488298,0.9043,108,0.9252,0.8843
43,pherc1667-w013,005000,truth,3358647,1012040,0.5624,67,0.5282,0.6013
43,pherc1667-w013,005000,pseudo,17906074,1696165,0.9082,98,0.9229,0.8939
43,pherc1667-w023,005000,truth,5403941,1295831,0.4467,67,0.4095,0.4913
43,pherc1667-w023,005000,pseudo,12381471,856184,0.9195,97,0.9312,0.9082
43,pherc1667-w028,005000,truth,844780,230538,0.5263,77,0.4574,0.6196
43,pherc1667-w028,005000,pseudo,5379400,856870,0.9568,119,0.961,0.9526
43,pherc1667-w029,005000,truth,1212915,356210,0.6047,77,0.6169,0.593
43,pherc1667-w029,005000,pseudo,5602677,870194,0.9599,111,0.9709,0.9492
43,pherc1667-w031,005000,truth,2621780,624019,0.5478,69,0.5875,0.5132
43,pherc1667-w031,005000,pseudo,4898536,488298,0.9366,101,0.9565,0.9175
43,pherc1667-w013,010000,truth,3358647,1012040,0.5963,67,0.5575,0.641
43,pherc1667-w013,010000,pseudo,17906074,1696165,0.936,117,0.9468,0.9254
43,pherc1667-w023,010000,truth,5403941,1295831,0.4639,67,0.4295,0.5044
43,pherc1667-w023,010000,pseudo,12381471,856184,0.9448,115,0.9546,0.9352
43,pherc1667-w028,010000,truth,844780,230538,0.5303,84,0.4632,0.62
43,pherc1667-w028,010000,pseudo,5379400,856870,0.9667,133,0.97,0.9635
43,pherc1667-w029,010000,truth,1212915,356210,0.5961,75,0.582,0.611
43,pherc1667-w029,010000,pseudo,5602677,870194,0.973,124,0.9773,0.9688
43,pherc1667-w031,010000,truth,2621780,624019,0.5639,69,0.6002,0.5318
43,pherc1667-w031,010000,pseudo,4898536,488298,0.9568,117,0.9694,0.9445
