arm,seed,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall
ft,42,pherc1667-w013,002500,3358647,1012040,0.7246,107,0.7077,0.7423
ft,42,pherc1667-w023,002500,5403941,1295831,0.5804,108,0.5464,0.6190
ft,42,pherc1667-w028,002500,844780,230538,0.6269,110,0.5694,0.6974
ft,42,pherc1667-w029,002500,1212915,356210,0.6559,120,0.6331,0.6804
ft,42,pherc1667-w031,002500,2621780,624019,0.6722,111,0.6595,0.6855
ft,43,pherc1667-w013,002500,3358647,1012040,0.7210,117,0.7017,0.7413
ft,43,pherc1667-w023,002500,5403941,1295831,0.5976,109,0.5513,0.6524
ft,43,pherc1667-w028,002500,844780,230538,0.6139,106,0.5074,0.7770
ft,43,pherc1667-w029,002500,1212915,356210,0.6693,114,0.6164,0.7321
ft,43,pherc1667-w031,002500,2621780,624019,0.6548,105,0.6197,0.6941
C,42,pherc1667-w013,002500,3358647,1012040,0.5804,71,0.5535,0.6100
C,42,pherc1667-w023,002500,5403941,1295831,0.4686,69,0.3995,0.5664
C,42,pherc1667-w028,002500,844780,230538,0.5400,74,0.4446,0.6874
C,42,pherc1667-w029,002500,1212915,356210,0.5818,76,0.5373,0.6343
C,42,pherc1667-w031,002500,2621780,624019,0.5645,74,0.5514,0.5782
C,43,pherc1667-w013,002500,3358647,1012040,0.5959,69,0.5438,0.6589
C,43,pherc1667-w023,002500,5403941,1295831,0.4750,68,0.4193,0.5476
C,43,pherc1667-w028,002500,844780,230538,0.5639,79,0.4794,0.6844
C,43,pherc1667-w029,002500,1212915,356210,0.5835,73,0.5462,0.6263
C,43,pherc1667-w031,002500,2621780,624019,0.5965,73,0.6109,0.5827
D,42,pherc1667-w013,002500,3358647,1012040,0.5685,67,0.5004,0.6580
D,42,pherc1667-w023,002500,5403941,1295831,0.4511,68,0.3719,0.5730
D,42,pherc1667-w028,002500,844780,230538,0.5079,76,0.4015,0.6910
D,42,pherc1667-w029,002500,1212915,356210,0.5662,83,0.5120,0.6333
D,42,pherc1667-w031,002500,2621780,624019,0.5274,73,0.4819,0.5824
D,43,pherc1667-w013,002500,3358647,1012040,0.5575,68,0.4918,0.6436
D,43,pherc1667-w023,002500,5403941,1295831,0.4428,69,0.3965,0.5013
D,43,pherc1667-w028,002500,844780,230538,0.5488,79,0.4704,0.6586
D,43,pherc1667-w029,002500,1212915,356210,0.5990,84,0.6136,0.5851
D,43,pherc1667-w031,002500,2621780,624019,0.5459,72,0.5626,0.5301
