segment,seed,step,region,regions,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
pherc0139-w016,42,010000,heldout,2,175222,41206,0.6732,131,0.6456,0.7034,0.5074,0.7923
pherc0139-w016,42,010000,train,3,418652,89632,0.7246,137,0.7049,0.7454,0.5681,0.8302
pherc0139-w016,42,020000,heldout,2,175222,41206,0.7425,113,0.7165,0.7704,0.5904,0.8383
pherc0139-w016,42,020000,train,3,418652,89632,0.8951,151,0.8930,0.8971,0.8100,0.9339
pherc0139-w016,42,030000,heldout,2,175222,41206,0.5768,112,0.6750,0.5035,0.4053,0.7145
pherc0139-w016,42,030000,train,3,418652,89632,0.9457,143,0.9378,0.9537,0.8970,0.9682
pherc0139-w016,42,040000,heldout,2,175222,41206,0.6298,132,0.6614,0.6011,0.4596,0.7532
pherc0139-w016,42,040000,train,3,418652,89632,0.9617,137,0.9606,0.9628,0.9262,0.9760
pherc0139-w016,42,050000,heldout,2,175222,41206,0.5754,89,0.5333,0.6246,0.4039,0.7283
pherc0139-w016,42,050000,train,3,418652,89632,0.9717,130,0.9657,0.9777,0.9449,0.9841
pherc0139-w016,42,060000,heldout,2,175222,41206,0.5741,137,0.6643,0.5054,0.4026,0.7134
pherc0139-w016,42,060000,train,3,418652,89632,0.9811,138,0.9784,0.9838,0.9629,0.9890
pherc0139-w016,42,075000,heldout,2,175222,41206,0.5313,100,0.5230,0.5398,0.3617,0.6942
pherc0139-w016,42,075000,train,3,418652,89632,0.9842,137,0.9833,0.9851,0.9688,0.9903
pherc0139-w016,43,010000,heldout,2,175222,41206,0.6542,109,0.6051,0.7119,0.4861,0.7845
pherc0139-w016,43,010000,train,3,418652,89632,0.7103,117,0.6636,0.7641,0.5508,0.8293
pherc0139-w016,43,020000,heldout,2,175222,41206,0.7413,95,0.6529,0.8573,0.5889,0.8586
pherc0139-w016,43,020000,train,3,418652,89632,0.8334,133,0.7841,0.8892,0.7143,0.9112
pherc0139-w016,43,030000,heldout,2,175222,41206,0.6369,130,0.6596,0.6157,0.4672,0.7590
pherc0139-w016,43,030000,train,3,418652,89632,0.9286,148,0.9212,0.9361,0.8667,0.9572
pherc0139-w016,43,040000,heldout,2,175222,41206,0.7131,106,0.6143,0.8498,0.5541,0.8429
pherc0139-w016,43,040000,train,3,418652,89632,0.9569,145,0.9498,0.9642,0.9174,0.9752
pherc0139-w016,43,050000,heldout,2,175222,41206,0.7089,145,0.7212,0.6971,0.5491,0.8071
pherc0139-w016,43,050000,train,3,418652,89632,0.9686,136,0.9637,0.9735,0.9391,0.9818
pherc0139-w016,43,060000,heldout,2,175222,41206,0.7323,128,0.7581,0.7082,0.5777,0.8194
pherc0139-w016,43,060000,train,3,418652,89632,0.9769,140,0.9728,0.9810,0.9548,0.9868
pherc0139-w016,43,075000,heldout,2,175222,41206,0.7547,101,0.6951,0.8255,0.6060,0.8571
pherc0139-w016,43,075000,train,3,418652,89632,0.9848,136,0.9834,0.9863,0.9701,0.9909
pherc0814-46527,42,010000,heldout,1,161051,60127,0.7653,125,0.7237,0.8120,0.6198,0.8136
pherc0814-46527,42,010000,train,1,428993,127043,0.8697,145,0.8756,0.8638,0.7695,0.9061
pherc0814-46527,42,020000,heldout,1,161051,60127,0.7613,90,0.7130,0.8165,0.6145,0.8104
pherc0814-46527,42,020000,train,1,428993,127043,0.9332,128,0.9335,0.9328,0.8747,0.9524
pherc0814-46527,42,030000,heldout,1,161051,60127,0.7108,80,0.6580,0.7729,0.5514,0.7668
pherc0814-46527,42,030000,train,1,428993,127043,0.9621,126,0.9608,0.9633,0.9269,0.9734
pherc0814-46527,42,040000,heldout,1,161051,60127,0.7339,113,0.8089,0.6716,0.5796,0.7885
pherc0814-46527,42,040000,train,1,428993,127043,0.9681,134,0.9652,0.9711,0.9382,0.9782
pherc0814-46527,42,050000,heldout,1,161051,60127,0.7605,77,0.6987,0.8343,0.6136,0.8100
pherc0814-46527,42,050000,train,1,428993,127043,0.9806,130,0.9828,0.9784,0.9619,0.9856
pherc0814-46527,42,060000,heldout,1,161051,60127,0.7516,100,0.7480,0.7552,0.6020,0.8018
pherc0814-46527,42,060000,train,1,428993,127043,0.9871,137,0.9884,0.9859,0.9746,0.9905
pherc0814-46527,42,075000,heldout,1,161051,60127,0.7528,84,0.7160,0.7936,0.6036,0.8030
pherc0814-46527,42,075000,train,1,428993,127043,0.9891,131,0.9880,0.9902,0.9785,0.9926
pherc0814-46527,43,010000,heldout,1,161051,60127,0.7616,120,0.7538,0.7696,0.6150,0.8099
pherc0814-46527,43,010000,train,1,428993,127043,0.8404,135,0.8420,0.8388,0.7247,0.8863
pherc0814-46527,43,020000,heldout,1,161051,60127,0.7523,100,0.7803,0.7263,0.6030,0.8022
pherc0814-46527,43,020000,train,1,428993,127043,0.9279,122,0.9176,0.9385,0.8655,0.9515
pherc0814-46527,43,030000,heldout,1,161051,60127,0.7504,98,0.7561,0.7447,0.6005,0.8008
pherc0814-46527,43,030000,train,1,428993,127043,0.9534,131,0.9498,0.9571,0.9109,0.9679
pherc0814-46527,43,040000,heldout,1,161051,60127,0.7497,82,0.6981,0.8094,0.5996,0.8004
pherc0814-46527,43,040000,train,1,428993,127043,0.9706,131,0.9715,0.9696,0.9428,0.9788
pherc0814-46527,43,050000,heldout,1,161051,60127,0.7586,83,0.6978,0.8310,0.6111,0.8083
pherc0814-46527,43,050000,train,1,428993,127043,0.9767,124,0.9748,0.9786,0.9545,0.9840
pherc0814-46527,43,060000,heldout,1,161051,60127,0.7551,89,0.7592,0.7511,0.6066,0.8046
pherc0814-46527,43,060000,train,1,428993,127043,0.9832,130,0.9831,0.9833,0.9669,0.9881
pherc0814-46527,43,075000,heldout,1,161051,60127,0.7399,91,0.7152,0.7663,0.5871,0.7923
pherc0814-46527,43,075000,train,1,428993,127043,0.9880,132,0.9877,0.9883,0.9764,0.9916
pherc1667-w029,42,010000,heldout,2,382353,88034,0.6063,120,0.5480,0.6786,0.4351,0.7556
