arm,family,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
segloso42,aligned,pherc0139-w035,010000,1018807,321472,0.7537,112,0.7393,0.7688,0.6048,0.8219
segloso42,aligned,pherc0139-w039,010000,546650,175084,0.7080,104,0.6693,0.7513,0.5479,0.7882
segloso42,native,w035,010000,1069617,333586,0.7355,126,0.7326,0.7384,0.5816,0.8081
segloso42,native,w039,010000,574928,182382,0.6148,109,0.5156,0.7613,0.4438,0.7145
segloso42,aligned,pherc0139-w035,020000,1018807,321472,0.7482,116,0.7540,0.7425,0.5977,0.8154
segloso42,aligned,pherc0139-w039,020000,546650,175084,0.6609,88,0.5805,0.7672,0.4936,0.7530
segloso42,native,w035,020000,1069617,333586,0.7169,125,0.7137,0.7202,0.5588,0.7946
segloso42,native,w039,020000,574928,182382,0.5979,116,0.5784,0.6188,0.4265,0.7046
segloso42,aligned,pherc0139-w035,030000,1018807,321472,0.7555,84,0.7242,0.7895,0.6070,0.8255
segloso42,aligned,pherc0139-w039,030000,546650,175084,0.6643,75,0.5777,0.7815,0.4973,0.7561
segloso42,native,w035,030000,1069617,333586,0.7365,97,0.7291,0.7441,0.5829,0.8094
segloso42,native,w039,030000,574928,182382,0.6238,88,0.5215,0.7759,0.4533,0.7226
segloso42,aligned,pherc0139-w035,040000,1018807,321472,0.7187,90,0.6746,0.7690,0.5609,0.7990
segloso42,aligned,pherc0139-w039,040000,546650,175084,0.6263,79,0.5671,0.6994,0.4559,0.7239
segloso42,native,w035,040000,1069617,333586,0.7364,100,0.6945,0.7837,0.5828,0.8137
segloso42,native,w039,040000,574928,182382,0.5938,90,0.4830,0.7708,0.4223,0.6937
segloso42,aligned,pherc0139-w035,050000,1018807,321472,0.7148,97,0.6949,0.7359,0.5562,0.7935
segloso42,aligned,pherc0139-w039,050000,546650,175084,0.6114,78,0.5116,0.7596,0.4403,0.7090
segloso42,native,w035,050000,1069617,333586,0.7012,99,0.6694,0.7363,0.5399,0.7857
segloso42,native,w039,050000,574928,182382,0.5687,89,0.4883,0.6808,0.3973,0.6746
segloso42,aligned,pherc0139-w035,060000,1018807,321472,0.7200,81,0.6863,0.7572,0.5625,0.7988
segloso42,aligned,pherc0139-w039,060000,546650,175084,0.6192,70,0.5284,0.7477,0.4485,0.7166
segloso42,native,w035,060000,1069617,333586,0.7116,93,0.7159,0.7073,0.5523,0.7900
segloso42,native,w039,060000,574928,182382,0.5685,81,0.5141,0.6356,0.3971,0.6783
segloso42,aligned,pherc0139-w035,075000,1018807,321472,0.7332,92,0.7146,0.7529,0.5788,0.8071
segloso42,aligned,pherc0139-w039,075000,546650,175084,0.6321,73,0.5449,0.7526,0.4621,0.7282
segloso42,native,w035,075000,1069617,333586,0.6932,113,0.7282,0.6613,0.5304,0.7747
