scroll,segment,seed,arm,step,role,pixels,ink,fixed_threshold,fixed_f1,oracle_f1,legacy_fixed_f1,duplicate_pixel_counts
Paris4,phercparis4-w01,42,base,20000,calibration,8268843,2163941,85,0.46068506657233393,0.46068506657233393,,
Paris4,phercparis4-w01,42,ft,2500,calibration,8268843,2163941,129,0.8572893426839382,0.8572893426839382,,
Paris4,phercparis4-w01,43,base,20000,calibration,8268843,2163941,83,0.46214390079711143,0.46214390079711143,,
Paris4,phercparis4-w01,43,ft,2500,calibration,8268843,2163941,112,0.867790054898366,0.867790054898366,,
1667,pherc1667-w013,42,base,10000,calibration,3358647,1012040,89,0.586222153822477,0.586222153822477,,
1667,pherc1667-w013,42,ft,2500,calibration,3358647,1012040,107,0.7245776137837308,0.7245776137837308,,
1667,pherc1667-w013,42,base20k,20000,calibration,3358647,1012040,81,0.599680186758608,0.599680186758608,,
1667,pherc1667-w013,43,base,10000,calibration,3358647,1012040,96,0.6073870361218151,0.6073870361218151,,
1667,pherc1667-w013,43,ft,2500,calibration,3358647,1012040,117,0.7209685486905018,0.7209685486905018,,
1667,pherc1667-w013,43,base20k,20000,calibration,3358647,1012040,88,0.6009260628696367,0.6009260628696367,,
Paris4,phercparis4-w02,42,base,20000,evaluation,4647609,1087282,85,0.4076504348059838,0.40967393850651185,0.4075447661557684,5612
Paris4,phercparis4-w02,42,ft,2500,evaluation,4647609,1087282,129,0.805671578955575,0.8124764984755211,0.8053960805088356,5612
Paris4,phercparis4-w02,43,base,20000,evaluation,4647609,1087282,83,0.4161455335065307,0.41742323751143084,0.41614027438514106,5612
Paris4,phercparis4-w02,43,ft,2500,evaluation,4647609,1087282,112,0.8136916345934403,0.828457430313889,0.8132189200209821,5612
Paris4,phercparis4-w03,42,base,20000,evaluation,6169508,2125255,85,0.49904569344332583,0.5232553652669628,0.49904569344332583,0
Paris4,phercparis4-w03,42,ft,2500,evaluation,6169508,2125255,129,0.7984601204270104,0.8143210428790437,0.7984601204270104,0
Paris4,phercparis4-w03,43,base,20000,evaluation,6169508,2125255,83,0.5228347560480747,0.5331453791123998,0.5228347560480747,0
Paris4,phercparis4-w03,43,ft,2500,evaluation,6169508,2125255,112,0.8022827213876681,0.8302880613767377,0.8022827213876681,0
Paris4,phercparis4-w05,42,base,20000,evaluation,31930770,6737328,85,0.38547159346892335,0.38611345070525876,0.38547159346892335,0
Paris4,phercparis4-w05,42,ft,2500,evaluation,31930770,6737328,129,0.7489242668672844,0.7620336818536295,0.7489242668672844,0
Paris4,phercparis4-w05,43,base,20000,evaluation,31930770,6737328,83,0.3969050317189067,0.3970577300476644,0.3969050317189067,0
